TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E


Query= EAW88802.1 lymphotoxin beta receptor (TNFR superfamily, member 3),
isoform CRA_a [Homo sapiens]

Length=435
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  NW_018149896.1 Orbicella faveolata isolate FL unplaced genomic ...  40.0    0.34 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= AAA59929.1 tumor necrosis factor receptor [Homo sapiens]

Length=461
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  adi_Scaffold1112                                                    52.0    8e-05
  adi_Scaffold3634                                                    50.4    2e-04
  adi_Scaffold511                                                     47.4    0.002
  adi_Scaffold89                                                      46.2    0.005
  afen_scaffold_48                                                    44.7    0.015
  dspp_scaffold_20                                                    44.3    0.015
  NW_018149716.1 Orbicella faveolata isolate FL unplaced genomic ...  43.5    0.028
  NW_018148557.1 Orbicella faveolata isolate FL unplaced genomic ...  42.4    0.072
  adi_Scaffold18                                                      42.4    0.078
  adi_Scaffold434                                                     41.2    0.17 
  scaffold_84                                                         40.4    0.28 
  LJWW01000172.1 Exaiptasia pallida isolate CC7 scaffold173, whol...  40.0    0.34 
  NW_018149896.1 Orbicella faveolata isolate FL unplaced genomic ...  40.0    0.36 
  NW_018149549.1 Orbicella faveolata isolate FL unplaced genomic ...  39.3    0.55 
  SczhEnG_142                                                         39.3    0.69 
  NW_018149155.1 Orbicella faveolata isolate FL unplaced genomic ...  38.9    0.80 
  NW_018148767.1 Orbicella faveolata isolate FL unplaced genomic ...  38.9    0.80 
  dspp_scaffold_44                                                    38.9    0.88 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= sp|P28908.1|TNR8_HUMAN RecName: Full=Tumor necrosis factor receptor
superfamily member 8; AltName: Full=CD30L receptor; AltName:
Full=Ki-1 antigen; AltName: Full=Lymphocyte activation antigen CD30;
AltName: CD_antigen=CD30; Flags: Precursor

Length=595


***** No hits found *****



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= NP_066961.2 TNF receptor-associated factor 2 [Homo sapiens]

Length=501
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  dspp_scaffold_86                                                      288   4e-82
  afen_scaffold_42                                                      285   6e-81
  dspp_scaffold_505                                                     283   4e-80
  afen_scaffold_10                                                      279   4e-79
  adi_Scaffold773                                                       279   5e-79
  dspp_scaffold_564                                                     277   3e-78
  NW_018148688.1 Orbicella faveolata isolate FL unplaced genomic ...    275   1e-77
  SczhEnG_789                                                           275   1e-77
  SczhEnG_207                                                           271   3e-76
  NW_018149352.1 Orbicella faveolata isolate FL unplaced genomic ...    270   6e-76
  SczhEnG_890                                                           270   6e-76
  NW_018150412.1 Orbicella faveolata isolate FL unplaced genomic ...    267   9e-75
  SczhEnG_1422                                                          265   4e-74
  adi_Scaffold1081                                                      260   1e-72
  adi_Scaffold983                                                       258   8e-72
  dspp_scaffold_73                                                      258   9e-72
  afen_scaffold_99                                                      258   1e-71
  LJWW01000032.1 Exaiptasia pallida isolate CC7 scaffold32, whole...    248   2e-68
  NW_018150124.1 Orbicella faveolata isolate FL unplaced genomic ...    247   4e-68
  scaffold_111                                                          247   6e-68
  LJWW01000004.1 Exaiptasia pallida isolate CC7 scaffold4, whole ...    243   1e-66
  LJWW01000192.1 Exaiptasia pallida isolate CC7 scaffold193, whol...    243   1e-66
  LJWW01000994.1 Exaiptasia pallida isolate CC7 scaffold995, whol...    241   5e-66
  adi_Scaffold317                                                       240   1e-65
  adi_Scaffold2297                                                      236   2e-64
  SczhEnG_3403                                                          235   5e-64
  LJWW01000603.1 Exaiptasia pallida isolate CC7 scaffold604, whol...    232   4e-63
  adi_Scaffold69                                                        229   6e-62
  adi_Scaffold560                                                       224   3e-60
  scaffold_3                                                            223   6e-60
  NW_018149336.1 Orbicella faveolata isolate FL unplaced genomic ...    216   1e-57
  LJWW01000003.1 Exaiptasia pallida isolate CC7 scaffold3, whole ...    216   1e-57
  adi_Scaffold18                                                        214   8e-57
  scaffold_198                                                          211   5e-56
  afen_scaffold_46                                                      206   2e-54
  SczhEnG_4375                                                          206   3e-54
  dspp_scaffold_246                                                     205   6e-54
  SczhEnG_2189                                                          204   1e-53
  NW_018149006.1 Orbicella faveolata isolate FL unplaced genomic ...    204   1e-53
  dspp_scaffold_4                                                       204   2e-53
  NW_018150275.1 Orbicella faveolata isolate FL unplaced genomic ...    197   3e-51
  dspp_scaffold_619                                                     197   4e-51
  SczhEnG_2984                                                          193   7e-50
  adi_Scaffold189                                                       185   3e-47
  SczhEnG_3533                                                          181   9e-46
  NW_004169596.1 Hydra vulgaris strain 105 unplaced genomic scaff...    177   1e-44
  LJWW01000700.1 Exaiptasia pallida isolate CC7 scaffold701, whol...    173   2e-43
  NW_004169995.1 Hydra vulgaris strain 105 unplaced genomic scaff...    172   4e-43
  NW_004169894.1 Hydra vulgaris strain 105 unplaced genomic scaff...    171   1e-42
  NW_004167260.1 Hydra vulgaris strain 105 unplaced genomic scaff...    171   1e-42
  dspp_scaffold_38                                                      157   4e-38
  LJWW01000227.1 Exaiptasia pallida isolate CC7 scaffold228, whol...    140   9e-33
  NW_018149283.1 Orbicella faveolata isolate FL unplaced genomic ...    140   1e-32
  SczhEnG_2924                                                          139   2e-32
  dspp_scaffold_37                                                      136   2e-31
  afen_scaffold_392                                                     135   3e-31
  LJWW01000014.1 Exaiptasia pallida isolate CC7 scaffold14, whole...    132   4e-30
  adi_Scaffold741                                                       131   7e-30
  scaffold_8                                                            129   3e-29
  SczhEnG_3783                                                          128   8e-29
  scaffold_6                                                            127   1e-28
  afen_scaffold_45                                                      126   3e-28
  NW_018149630.1 Orbicella faveolata isolate FL unplaced genomic ...    124   1e-27
  scaffold_1455                                                         122   3e-27
  adi_Scaffold333                                                       122   4e-27
  adi_Scaffold1798                                                      122   4e-27
  LJWW01000381.1 Exaiptasia pallida isolate CC7 scaffold382, whol...    121   8e-27
  NW_004167214.1 Hydra vulgaris strain 105 unplaced genomic scaff...    121   8e-27
  NW_018149861.1 Orbicella faveolata isolate FL unplaced genomic ...    120   2e-26
  adi_Scaffold1350                                                      120   3e-26
  dspp_scaffold_561                                                     119   3e-26
  NW_004168157.1 Hydra vulgaris strain 105 unplaced genomic scaff...    119   4e-26
  adi_Scaffold1205                                                      119   6e-26
  LJWW01000172.1 Exaiptasia pallida isolate CC7 scaffold173, whol...    119   6e-26
  NW_018149314.1 Orbicella faveolata isolate FL unplaced genomic ...    118   8e-26
  scaffold_133                                                          118   1e-25
  SczhEnG_293                                                           117   1e-25
  NW_018148751.1 Orbicella faveolata isolate FL unplaced genomic ...    117   1e-25
  NW_018148826.1 Orbicella faveolata isolate FL unplaced genomic ...    117   2e-25
  dspp_scaffold_138                                                     117   2e-25
  adi_Scaffold364                                                       117   2e-25
  adi_Scaffold435                                                       117   2e-25
  LJWW01000248.1 Exaiptasia pallida isolate CC7 scaffold249, whol...    117   2e-25
  SczhEnG_1415                                                          117   2e-25
  scaffold_82                                                           116   3e-25
  NW_018149716.1 Orbicella faveolata isolate FL unplaced genomic ...    116   3e-25
  dspp_scaffold_20                                                      115   5e-25
  adi_Scaffold3158                                                      115   6e-25
  adi_Scaffold1950                                                      115   7e-25
  adi_Scaffold1255                                                      114   1e-24
  NW_018150212.1 Orbicella faveolata isolate FL unplaced genomic ...    114   1e-24
  LJWW01000268.1 Exaiptasia pallida isolate CC7 scaffold269, whol...    114   1e-24
  afen_scaffold_219                                                     114   1e-24
  LJWW01001127.1 Exaiptasia pallida isolate CC7 scaffold1130, who...    114   1e-24
  LJWW01001353.1 Exaiptasia pallida isolate CC7 scaffold1372, who...    112   6e-24
  LJWW01001172.1 Exaiptasia pallida isolate CC7 scaffold1175, who...    112   8e-24
  adi_Scaffold864                                                       111   1e-23
  LJWW01000008.1 Exaiptasia pallida isolate CC7 scaffold8, whole ...    110   2e-23
  scaffold_374                                                          110   3e-23
  afen_scaffold_833                                                     109   5e-23
  dspp_scaffold_1467                                                    106   7e-22
  NW_018149687.1 Orbicella faveolata isolate FL unplaced genomic ...    103   4e-21
  NW_004167841.1 Hydra vulgaris strain 105 unplaced genomic scaff...    103   4e-21
  NW_018150178.1 Orbicella faveolata isolate FL unplaced genomic ...    102   1e-20
  LJWW01000087.1 Exaiptasia pallida isolate CC7 scaffold87, whole...    102   1e-20
  NW_004172979.1 Hydra vulgaris strain 105 unplaced genomic scaff...    101   2e-20
  LJWW01000262.1 Exaiptasia pallida isolate CC7 scaffold263, whol...    101   3e-20
  adi_Scaffold259                                                       101   3e-20
  afen_scaffold_0                                                       100   7e-20
  NW_018148670.1 Orbicella faveolata isolate FL unplaced genomic ...  99.8    1e-19
  scaffold_583                                                        99.0    2e-19
  adi_Scaffold27                                                      99.0    2e-19
  SczhEnG_2387                                                        98.6    2e-19
  adi_Scaffold1377                                                    98.2    3e-19
  NW_018149378.1 Orbicella faveolata isolate FL unplaced genomic ...  97.4    5e-19
  dspp_scaffold_580                                                   97.4    5e-19
  SczhEnG_1792                                                        97.4    6e-19
  adi_Scaffold51                                                      63.9    1e-18
  SczhEnG_94                                                          95.5    2e-18
  SczhEnG_2745                                                        95.5    2e-18
  scaffold_170                                                        95.1    3e-18
  scaffold_10031                                                      94.4    3e-18
  scaffold_112                                                        94.4    5e-18
  afen_scaffold_313                                                   94.4    5e-18
  SczhEnG_1131                                                        94.0    6e-18
  NW_004167077.1 Hydra vulgaris strain 105 unplaced genomic scaff...  94.0    7e-18
  SczhEnG_142                                                         93.2    1e-17
  NW_004174400.1 Hydra vulgaris strain 105 unplaced genomic scaff...  92.4    2e-17
  NW_018149674.1 Orbicella faveolata isolate FL unplaced genomic ...  77.8    4e-17
  adi_Scaffold37                                                      72.8    5e-17
  scaffold_74                                                         91.3    5e-17
  dspp_scaffold_27                                                    90.5    8e-17
  NW_004169928.1 Hydra vulgaris strain 105 unplaced genomic scaff...  88.6    3e-16
  afen_scaffold_576                                                   88.2    4e-16
  NW_004167848.1 Hydra vulgaris strain 105 unplaced genomic scaff...  86.3    2e-15
  NW_004174088.1 Hydra vulgaris strain 105 unplaced genomic scaff...  86.3    2e-15
  NW_004167631.1 Hydra vulgaris strain 105 unplaced genomic scaff...  85.9    2e-15
  adi_Scaffold3671                                                    68.2    3e-15
  LJWW01001057.1 Exaiptasia pallida isolate CC7 scaffold1058, who...  84.3    6e-15
  LJWW01000168.1 Exaiptasia pallida isolate CC7 scaffold168, whol...  70.5    7e-15
  NW_004169889.1 Hydra vulgaris strain 105 unplaced genomic scaff...  81.6    5e-14
  adi_Scaffold894                                                     79.0    3e-13
  NW_004170478.1 Hydra vulgaris strain 105 unplaced genomic scaff...  79.0    4e-13
  afen_scaffold_30                                                    77.8    8e-13
  afen_scaffold_1501                                                  77.4    1e-12
  dspp_scaffold_25                                                    77.0    1e-12
  SczhEnG_3669                                                        76.6    2e-12
  NW_004167278.1 Hydra vulgaris strain 105 unplaced genomic scaff...  73.6    2e-11
  NW_018149703.1 Orbicella faveolata isolate FL unplaced genomic ...  73.6    2e-11
  NW_004175849.1 Hydra vulgaris strain 105 unplaced genomic scaff...  73.2    2e-11
  scaffold_297                                                        72.0    6e-11
  scaffold_25                                                         71.2    1e-10
  SczhEnG_3547                                                        69.7    2e-10
  NW_004168972.1 Hydra vulgaris strain 105 unplaced genomic scaff...  65.9    5e-09
  scaffold_4802                                                       64.3    1e-08
  scaffold_14518                                                      60.5    8e-08
  NW_018149134.1 Orbicella faveolata isolate FL unplaced genomic ...  60.5    2e-07
  NW_004169472.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.1    2e-07
  NW_004172088.1 Hydra vulgaris strain 105 unplaced genomic scaff...  59.3    5e-07
  scaffold_120                                                        59.3    5e-07
  NW_004171712.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.5    8e-07
  NW_004172847.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.5    9e-07
  dspp_scaffold_450                                                   57.8    2e-06
  scaffold_370                                                        57.4    2e-06
  NW_004170982.1 Hydra vulgaris strain 105 unplaced genomic scaff...  57.0    2e-06
  NW_004176412.1 Hydra vulgaris strain 105 unplaced genomic scaff...  56.6    3e-06
  NW_004172641.1 Hydra vulgaris strain 105 unplaced genomic scaff...  56.2    5e-06
  NW_004168616.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.8    5e-06
  NW_004168519.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.8    5e-06
  scaffold_3923                                                       55.1    9e-06
  scaffold_275                                                        54.7    1e-05
  NW_004181164.1 Hydra vulgaris strain 105 unplaced genomic scaff...  54.3    1e-05
  NW_004174488.1 Hydra vulgaris strain 105 unplaced genomic scaff...  54.3    1e-05
  adi_Scaffold1203                                                    54.3    1e-05
  NW_018150256.1 Orbicella faveolata isolate FL unplaced genomic ...  54.3    2e-05
  dspp_scaffold_40                                                    54.3    2e-05
  NW_004167067.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.9    2e-05
  NW_004185892.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.5    2e-05
  NW_004174948.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.9    2e-05
  NW_004171064.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.8    5e-05
  NW_004169364.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.8    5e-05
  SczhEnG_1388                                                        44.3    6e-05
  NW_004168075.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.4    7e-05
  NW_004173708.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.6    1e-04
  afen_scaffold_321                                                   51.6    1e-04
  NW_004168221.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.6    1e-04
  NW_004168846.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.2    1e-04
  scaffold_90                                                         50.8    2e-04
  scaffold_129                                                        50.8    2e-04
  NW_004173498.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.4    2e-04
  NW_004173369.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.4    2e-04
  dspp_scaffold_102                                                   50.1    3e-04
  afen_scaffold_474                                                   49.7    4e-04
  NW_004170572.1 Hydra vulgaris strain 105 unplaced genomic scaff...  49.3    5e-04
  SczhEnG_3680                                                        49.3    6e-04
  dspp_scaffold_886                                                   48.9    8e-04
  SczhEnG_1417                                                        48.5    8e-04
  LJWW01000247.1 Exaiptasia pallida isolate CC7 scaffold248, whol...  48.5    0.001
  scaffold_3591                                                       48.5    0.001
  afen_scaffold_611                                                   48.5    0.001
  NW_004174898.1 Hydra vulgaris strain 105 unplaced genomic scaff...  48.1    0.001
  adi_Scaffold29                                                      47.8    0.002
  adi_Scaffold869                                                     47.8    0.002
  NW_004175776.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.8    0.002
  NW_004171843.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.4    0.002
  SczhEnG_3991                                                        46.6    0.003
  scaffold_18                                                         47.0    0.003
  NW_018150134.1 Orbicella faveolata isolate FL unplaced genomic ...  43.1    0.003
  dspp_scaffold_65                                                    46.6    0.004
  NW_004169792.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.6    0.004
  adi_Scaffold993                                                     46.2    0.005
  SczhEnG_2823                                                        46.2    0.005
  NW_004171842.1 Hydra vulgaris strain 105 unplaced genomic scaff...  45.8    0.006
  NW_004169437.1 Hydra vulgaris strain 105 unplaced genomic scaff...  45.8    0.007
  SczhEnG_3581                                                        45.1    0.010
  dspp_scaffold_839                                                   45.1    0.011
  NW_004177162.1 Hydra vulgaris strain 105 unplaced genomic scaff...  45.1    0.012
  scaffold_44                                                         44.7    0.013
  NW_004170343.1 Hydra vulgaris strain 105 unplaced genomic scaff...  44.7    0.017
  NW_004170403.1 Hydra vulgaris strain 105 unplaced genomic scaff...  44.3    0.017
  LJWW01000145.1 Exaiptasia pallida isolate CC7 scaffold145, whol...  44.3    0.017
  NW_018149078.1 Orbicella faveolata isolate FL unplaced genomic ...  44.3    0.018
  adi_Scaffold2539                                                    44.3    0.019
  NW_004177578.1 Hydra vulgaris strain 105 unplaced genomic scaff...  44.3    0.022
  NW_004169298.1 Hydra vulgaris strain 105 unplaced genomic scaff...  43.9    0.023
  LJWW01000546.1 Exaiptasia pallida isolate CC7 scaffold547, whol...  43.5    0.030
  NW_004176652.1 Hydra vulgaris strain 105 unplaced genomic scaff...  43.5    0.032
  LJWW01000070.1 Exaiptasia pallida isolate CC7 scaffold70, whole...  43.5    0.036
  NW_004168665.1 Hydra vulgaris strain 105 unplaced genomic scaff...  43.1    0.041
  adi_Scaffold1318                                                    43.1    0.042
  scaffold_64                                                         43.1    0.043
  NW_018148822.1 Orbicella faveolata isolate FL unplaced genomic ...  43.1    0.046
  afen_scaffold_521                                                   43.1    0.050
  SczhEnG_3554                                                        42.7    0.053
  NW_004168146.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.7    0.059
  dspp_scaffold_119                                                   42.7    0.060
  NW_004173827.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.4    0.067
  NW_004167167.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.7    0.067
  NW_004168048.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.4    0.069
  NW_004180031.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.4    0.071
  NW_004169390.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.4    0.073
  NW_004169169.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.4    0.075
  NW_004177694.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.4    0.077
  SczhEnG_3629                                                        42.4    0.081
  LJWW01000984.1 Exaiptasia pallida isolate CC7 scaffold985, whol...  42.4    0.086
  SczhEnG_4234                                                        42.0    0.098
  NW_004176749.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.0    0.11 
  dspp_scaffold_321                                                   42.0    0.11 
  afen_scaffold_36                                                    41.6    0.13 
  adi_Scaffold3605                                                    41.6    0.13 
  adi_Scaffold3321                                                    41.6    0.14 
  NW_018149003.1 Orbicella faveolata isolate FL unplaced genomic ...  41.6    0.14 
  LJWW01001228.1 Exaiptasia pallida isolate CC7 scaffold1233, who...  41.2    0.15 
  NW_018148874.1 Orbicella faveolata isolate FL unplaced genomic ...  41.2    0.17 
  dspp_scaffold_2327                                                  41.2    0.18 
  dspp_scaffold_598                                                   41.2    0.18 
  dspp_scaffold_2148                                                  41.2    0.18 
  adi_Scaffold372                                                     41.2    0.19 
  NW_018148669.1 Orbicella faveolata isolate FL unplaced genomic ...  40.8    0.21 
  dspp_scaffold_699                                                   40.8    0.24 
  dspp_scaffold_85                                                    40.8    0.24 
  NW_004171572.1 Hydra vulgaris strain 105 unplaced genomic scaff...  40.8    0.26 
  LJWW01000024.1 Exaiptasia pallida isolate CC7 scaffold24, whole...  40.4    0.27 
  NW_004170351.1 Hydra vulgaris strain 105 unplaced genomic scaff...  40.4    0.27 
  NW_004177717.1 Hydra vulgaris strain 105 unplaced genomic scaff...  40.4    0.28 
  adi_Scaffold1753                                                    40.4    0.30 
  NW_004177235.1 Hydra vulgaris strain 105 unplaced genomic scaff...  40.4    0.34 
  dspp_scaffold_1389                                                  40.0    0.35 
  dspp_scaffold_66                                                    40.0    0.40 
  afen_scaffold_1608                                                  39.7    0.50 
  dspp_scaffold_108                                                   39.7    0.55 
  afen_scaffold_98                                                    39.7    0.56 
  adi_Scaffold2289                                                    39.7    0.59 
  dspp_scaffold_182                                                   36.2    0.61 
  adi_Scaffold4060                                                    39.3    0.62 
  NW_018149371.1 Orbicella faveolata isolate FL unplaced genomic ...  39.3    0.66 
  NW_018149627.1 Orbicella faveolata isolate FL unplaced genomic ...  39.3    0.69 
  dspp_scaffold_767                                                   39.3    0.73 
  dspp_scaffold_1865                                                  39.3    0.75 
  SczhEnG_2767                                                        39.3    0.76 
  LJWW01000174.1 Exaiptasia pallida isolate CC7 scaffold175, whol...  39.3    0.78 
  NW_004168967.1 Hydra vulgaris strain 105 unplaced genomic scaff...  38.9    0.84 
  NW_018148815.1 Orbicella faveolata isolate FL unplaced genomic ...  38.9    0.86 
  NW_004168194.1 Hydra vulgaris strain 105 unplaced genomic scaff...  38.9    0.91 
  adi_Scaffold158                                                     38.9    0.99 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= NP_001177874.1 TNF receptor-associated factor 1 isoform a [Homo
sapiens]

Length=416
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  dspp_scaffold_505                                                     244   3e-68
  NW_018149352.1 Orbicella faveolata isolate FL unplaced genomic ...    244   3e-68
  NW_018150412.1 Orbicella faveolata isolate FL unplaced genomic ...    242   2e-67
  afen_scaffold_10                                                      240   9e-67
  dspp_scaffold_564                                                     240   1e-66
  dspp_scaffold_73                                                      240   1e-66
  adi_Scaffold983                                                       239   2e-66
  SczhEnG_207                                                           239   2e-66
  adi_Scaffold1081                                                      238   4e-66
  NW_018150124.1 Orbicella faveolata isolate FL unplaced genomic ...    237   1e-65
  SczhEnG_890                                                           237   1e-65
  SczhEnG_1422                                                          234   1e-64
  afen_scaffold_99                                                      231   2e-63
  adi_Scaffold317                                                       229   4e-63
  adi_Scaffold69                                                        226   6e-62
  LJWW01000994.1 Exaiptasia pallida isolate CC7 scaffold995, whol...    223   8e-61
  scaffold_111                                                          223   9e-61
  SczhEnG_3403                                                          223   9e-61
  SczhEnG_789                                                           221   3e-60
  LJWW01000192.1 Exaiptasia pallida isolate CC7 scaffold193, whol...    219   2e-59
  LJWW01000004.1 Exaiptasia pallida isolate CC7 scaffold4, whole ...    217   8e-59
  adi_Scaffold2297                                                      215   3e-58
  scaffold_3                                                            214   7e-58
  NW_018148688.1 Orbicella faveolata isolate FL unplaced genomic ...    214   1e-57
  adi_Scaffold560                                                       211   8e-57
  LJWW01000603.1 Exaiptasia pallida isolate CC7 scaffold604, whol...    208   8e-56
  LJWW01000032.1 Exaiptasia pallida isolate CC7 scaffold32, whole...    206   6e-55
  LJWW01000003.1 Exaiptasia pallida isolate CC7 scaffold3, whole ...    204   2e-54
  dspp_scaffold_86                                                      204   2e-54
  adi_Scaffold773                                                       204   2e-54
  afen_scaffold_46                                                      204   2e-54
  NW_018150275.1 Orbicella faveolata isolate FL unplaced genomic ...    202   6e-54
  SczhEnG_4375                                                          202   1e-53
  dspp_scaffold_246                                                     201   1e-53
  afen_scaffold_42                                                      200   5e-53
  NW_018149336.1 Orbicella faveolata isolate FL unplaced genomic ...    199   9e-53
  adi_Scaffold18                                                        198   2e-52
  dspp_scaffold_4                                                       191   4e-50
  NW_018149006.1 Orbicella faveolata isolate FL unplaced genomic ...    191   5e-50
  SczhEnG_2189                                                          187   1e-48
  SczhEnG_3533                                                          174   4e-44
  adi_Scaffold189                                                       169   9e-43
  scaffold_198                                                          166   2e-41
  SczhEnG_2984                                                          160   1e-39
  LJWW01000700.1 Exaiptasia pallida isolate CC7 scaffold701, whol...    156   2e-38
  NW_004167260.1 Hydra vulgaris strain 105 unplaced genomic scaff...    150   2e-36
  NW_004169894.1 Hydra vulgaris strain 105 unplaced genomic scaff...    148   1e-35
  NW_004169596.1 Hydra vulgaris strain 105 unplaced genomic scaff...    147   2e-35
  NW_004169995.1 Hydra vulgaris strain 105 unplaced genomic scaff...    147   3e-35
  LJWW01000227.1 Exaiptasia pallida isolate CC7 scaffold228, whol...    143   4e-34
  adi_Scaffold741                                                       141   2e-33
  NW_018149283.1 Orbicella faveolata isolate FL unplaced genomic ...    139   1e-32
  NW_004168157.1 Hydra vulgaris strain 105 unplaced genomic scaff...    137   4e-32
  SczhEnG_2924                                                          135   2e-31
  dspp_scaffold_37                                                      135   2e-31
  afen_scaffold_392                                                     134   4e-31
  adi_Scaffold333                                                       134   5e-31
  SczhEnG_3783                                                          134   5e-31
  NW_018149861.1 Orbicella faveolata isolate FL unplaced genomic ...    132   9e-31
  NW_018149630.1 Orbicella faveolata isolate FL unplaced genomic ...    130   7e-30
  NW_004167214.1 Hydra vulgaris strain 105 unplaced genomic scaff...    130   8e-30
  LJWW01000381.1 Exaiptasia pallida isolate CC7 scaffold382, whol...    129   1e-29
  scaffold_82                                                           129   2e-29
  LJWW01000172.1 Exaiptasia pallida isolate CC7 scaffold173, whol...    127   7e-29
  NW_018149314.1 Orbicella faveolata isolate FL unplaced genomic ...    124   6e-28
  afen_scaffold_45                                                      124   6e-28
  LJWW01000014.1 Exaiptasia pallida isolate CC7 scaffold14, whole...    123   1e-27
  scaffold_133                                                          122   3e-27
  adi_Scaffold864                                                       121   5e-27
  LJWW01000248.1 Exaiptasia pallida isolate CC7 scaffold249, whol...    119   3e-26
  scaffold_1455                                                         118   4e-26
  LJWW01000268.1 Exaiptasia pallida isolate CC7 scaffold269, whol...    116   2e-25
  LJWW01001127.1 Exaiptasia pallida isolate CC7 scaffold1130, who...    116   2e-25
  adi_Scaffold1798                                                      115   3e-25
  NW_018148826.1 Orbicella faveolata isolate FL unplaced genomic ...    115   4e-25
  SczhEnG_1131                                                          115   4e-25
  adi_Scaffold1350                                                      115   4e-25
  NW_018150178.1 Orbicella faveolata isolate FL unplaced genomic ...    115   5e-25
  scaffold_8                                                            115   5e-25
  adi_Scaffold1205                                                      114   8e-25
  scaffold_6                                                            113   1e-24
  afen_scaffold_833                                                     113   1e-24
  SczhEnG_1792                                                          112   2e-24
  LJWW01001172.1 Exaiptasia pallida isolate CC7 scaffold1175, who...    112   2e-24
  SczhEnG_293                                                           112   3e-24
  scaffold_374                                                          112   4e-24
  adi_Scaffold435                                                       112   4e-24
  adi_Scaffold1950                                                      112   5e-24
  adi_Scaffold1255                                                      111   7e-24
  afen_scaffold_219                                                     110   1e-23
  LJWW01000008.1 Exaiptasia pallida isolate CC7 scaffold8, whole ...    109   2e-23
  adi_Scaffold3158                                                      108   5e-23
  NW_018149716.1 Orbicella faveolata isolate FL unplaced genomic ...    108   6e-23
  dspp_scaffold_20                                                      107   8e-23
  LJWW01001353.1 Exaiptasia pallida isolate CC7 scaffold1372, who...    107   1e-22
  dspp_scaffold_138                                                     107   1e-22
  SczhEnG_94                                                            106   2e-22
  scaffold_583                                                          106   2e-22
  SczhEnG_1415                                                          105   3e-22
  adi_Scaffold364                                                       105   4e-22
  dspp_scaffold_619                                                     105   4e-22
  NW_018150212.1 Orbicella faveolata isolate FL unplaced genomic ...    105   5e-22
  dspp_scaffold_1467                                                    103   1e-21
  scaffold_74                                                           103   3e-21
  LJWW01000087.1 Exaiptasia pallida isolate CC7 scaffold87, whole...    102   4e-21
  adi_Scaffold27                                                        100   2e-20
  NW_018149687.1 Orbicella faveolata isolate FL unplaced genomic ...    100   2e-20
  SczhEnG_2387                                                          100   2e-20
  NW_018149378.1 Orbicella faveolata isolate FL unplaced genomic ...  99.8    3e-20
  LJWW01000262.1 Exaiptasia pallida isolate CC7 scaffold263, whol...  98.6    8e-20
  adi_Scaffold259                                                     98.2    1e-19
